datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies,,,,,,
7/29/2019,Mon,28000,,,,,2,,,1,,,1,,,,,1,,,,,1,,,,,,,,,
7/31/2019,Wed,15600,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2019,Wed,30100,,2,1,,,2,,,,1,,,,,,1,,,,,,,,,,,,,,
7/31/2019,Wed,23300,,1,1,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,
7/31/2019,Wed,30200,,2,,,1,,,,,2,,,,,2,,,,,,,,,,,,,,,
7/31/2019,Wed,15100,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2019,Wed,27300,,1,1,,2,,,,,,,,,,,1,,,,,1,,,,,,,,,
7/31/2019,Wed,15300,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
7/31/2019,Wed,16100,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
7/31/2019,Wed,15100,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
7/31/2019,Wed,15800,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
8/1/2019,Thur,14500,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,
8/1/2019,Thur,13100,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
8/1/2019,Thur,16100,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8/1/2019,Thur,14800,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
8/1/2019,Thur,21100,,2,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
8/1/2019,Thur,20600,,2,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
8/1/2019,Thur,32600,,1,2,,,2,,1,,1,,,,,1,,,,,,,,,,,,,,,
8/1/2019,Thur,14500,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
8/1/2019,Thur,15100,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2019,Thur,15000,,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,
8/1/2019,Thur,14800,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
8/1/2019,Thur,23000,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,
8/2/2019,Fri,19900,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
8/2/2019,Fri,14100,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8/2/2019,Fri,18000,,3,,,,,,1,,,,,,,,1,,,1,1,,,,,,,,,,
8/2/2019,Fri,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2019,Fri,17300,,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
8/2/2019,Fri,30800,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2019,Fri,15800,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
8/2/2019,Fri,19900,,2,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,
8/2/2019,Fri,15800,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
8/3/2019,Sat,26000,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2019,Sat,26100,,2,1,,,,,,,1,,,,,,,,,,3,,,,,,,,,,
8/3/2019,Sat,16000,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,
8/3/2019,Sat,29100,,1,,,,1,,,,1,1,,,,1,,,,1,1,,,,,,,,,,
8/3/2019,Sat,16800,,1,1,1,,,,,,,,,,,,,,,,2,,,,,,,,,,
8/3/2019,Sat,22800,,,1,,,1,,,,,,,,,1,,,,,4,,,,,,,,,,
8/3/2019,Sat,16600,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,
